0, 0,0,0,0,30,BRYW,0,0,0,16,371317266119340408367/490329056390625000000000,7.5728179123761168386E-4
0,0,0,0,0,29,BRYW,0,0,0,16,320811442519094777453/326886037593750000000000,9.814167802351819762E-4
0,0,0,0,0,28,BRYW,0,0,0,15,543783247121888220467/435848050125000000000000,0.0012476440974461918742
0,0,0,0,0,27,BRYW,0,0,0,15,235641070065206229739/145282683375000000000000,0.0016219487731856895828
0,0,0,0,0,26,BRYW,0,0,0,15,2073135521972799881/1008907523437500000000,0.0020548320572626068682
0,0,0,0,0,25,BRYW,0,0,0,14,6478172539928629193/2421378056250000000000,0.002675407305029189282
0,0,0,0,0,24,BRYW,0,0,0,14,1027651785233998571/302672257031250000000,0.0033952625698624787262
0,0,0,0,0,23,BRYW,0,0,0,13,1066318727827676477/242137805625000000000,0.004403768032320774762
0,0,0,0,0,22,BRYW,0,0,0,13,56485327801332223/10089075234375000000,0.0055986625621422860865
0,0,0,0,0,21,BRYW,0,0,0,12,6485447162050673/896806687500000000,0.0072317114183547755937
0,0,0,0,0,20,BRYW,0,0,0,12,2065104649399387/224201671875000000,0.009210924397346834013
0,0,0,0,0,19,BRYW,0,0,0,11,84979745345533/7174453500000000,0.011844769130573220664
0,0,0,0,0,18,BRYW,0,0,0,11,2259183130571/149467781250000,0.0151148502485113326056
0,0,0,0,0,17,BRYW,0,0,0,10,9637836825349/498225937500000,0.019344309679479503213
0,0,0,0,0,16,BRYW,0,0,0,10,1540172718403/62278242187500,0.024730510436791540986
0,0,0,0,0,15,BRYW,0,0,0,9,19369610393/615093750000,0.03149050107077173195
0,0,0,0,0,14,BRYW,0,0,0,9,2067096439/51257812500,0.040327441577808260934
0,0,0,0,0,13,BRYW,0,0,0,8,3141929717/61509375000,0.0510805014194990601
0,0,0,0,0,12,BRYW,0,0,0,8,1007259773/15377343750,0.06550284557435350302
0,0,0,0,0,11,BRYW,0,0,0,7,2030637079/24603750000,0.08253364137580653356
0,0,0,0,0,10,BRYW,0,0,0,7,54279223/512578125,0.105894536564548087185
0,0,0,0,0,9,BRYW,0,0,0,6,1210139/9112500,0.13279989026063100137
0,0,0,0,0,8,BRYW,0,0,0,6,387691/2278125,0.17017986282578875172
0,0,0,0,0,7,BRYW,0,0,0,5,969649/4556250,0.21281733882030178327
0,0,0,0,0,6,BRYW,0,0,0,5,205879/759375,0.27111637860082304528
0,0,0,0,0,5,BRYW,0,0,0,4,17182/50625,0.33939753086419753087
0,0,0,0,0,4,BRYW,0,0,0,4,21557/50625,0.42581728395061728396
0,0,0,0,0,3,BRYW,0,0,0,3,604/1125,0.53688888888888888887
0,0,0,0,0,2,BRYW,0,0,0,3,81/125,0.648
0,0,0,0,0,1,BRYW,0,0,0,2,21/25,0.84
0,0,0,0,1,30,BRYW,0,0,1,15,10044663005246042644121/10460353203000000000000000,9.6026040519982264354E-4
0,0,0,0,1,29,BRYW,0,0,1,14,2143257595756839991243/1743392200500000000000000,0.001229360550736753162
0,0,0,0,1,28,BRYW,0,0,1,14,690032882009583532967/435848050125000000000000,0.0015831959826634168379
0,0,0,0,1,27,BRYW,0,0,1,13,6510240109797417049/3228504075000000000000,0.0020164881191291099884
0,0,0,0,1,26,BRYW,0,0,1,13,151346640146519522507/58113073350000000000000,0.002604347549044564901
0,0,0,0,1,25,BRYW,0,0,1,12,19167397523284157323/5811307335000000000000,0.003298293553989802421
0,0,0,0,1,24,BRYW,0,0,1,12,57484478816489839/13452100312500000000,0.004273271643913771848
0,0,0,0,1,23,BRYW,0,0,1,12,108812976159305071/20178150468750000000,0.0053926139726147972603
0,0,0,0,1,22,BRYW,0,0,1,11,50160732813983509/7174453500000000000,0.0069915754299590218265
0,0,0,0,1,21,BRYW,0,0,1,11,15851656286991971/1793613375000000000,0.008837833452815309766
0,0,0,0,1,20,BRYW,0,0,1,10,27266971104761/2391484500000000,0.011401692590840960918
0,0,0,0,1,19,BRYW,0,0,1,10,213138481453/14762250000000,0.0144380755950481803246
0,0,0,0,1,18,BRYW,0,0,1,9,49221871271653/2657205000000000,0.018523926935126570965
0,0,0,0,1,17,BRYW,0,0,1,9,216823547981/9226406250000,0.023500325273559247404
0,0,0,0,1,16,BRYW,0,0,1,8,20734903489/691980468750,0.02996457909636629466
0,0,0,0,1,15,BRYW,0,0,1,8,52710041353/1383960937500,0.038086364957825986328
0,0,0,0,1,14,BRYW,0,0,1,7,142384110791/2952450000000,0.048225748375417026537
0,0,0,0,1,13,BRYW,0,0,1,7,15109515743/246037500000,0.061411434204135548442
0,0,0,0,1,12,BRYW,0,0,1,6,210921481/2733750000,0.07715463411065386374
0,0,0,0,1,11,BRYW,0,0,1,6,403530659/4100625000,0.09840711086724584667
0,0,0,0,1,10,BRYW,0,0,1,5,992693/8100000,0.12255469135802469136
0,0,0,0,1,9,BRYW,0,0,1,5,356441/2278125,0.15646244170096021948
0,0,0,0,1,8,BRYW,0,0,1,4,146504/759375,0.19292707818930041152
0,0,0,0,1,7,BRYW,0,0,1,4,187129/759375,0.24642502057613168724
0,0,0,0,1,6,BRYW,0,0,1,3,121831/405000,0.30081728395061728396
0,0,0,0,1,5,BRYW,0,0,1,3,12913/33750,0.3826074074074074074
0,0,0,0,1,4,BRYW,0,0,1,2,1562/3375,0.4628148148148148148
0,0,0,0,1,3,BRYW,0,0,1,2,1937/3375,0.5739259259259259259
0,0,0,0,1,2,BRYW,0,0,1,1,101/150,0.67333333333333333335
0,0,0,0,1,1,BRYW,0,0,1,1,21/25,0.84
